,troll,mentions,tweet
38,jmscoxxx,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
39,melvinsroberts,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
40,curtisbigman,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
41,hellieedwards,"[""geffgefferson1""]","RT @GeffGefferson1: Republicans Think Movie Actors Are The People They Portray...No Wonder They Ended Up With Trump...
#BradleyCooper 
#DNC…"
42,amandavgreen,"[""chiefplan1""]","RT @chiefplan1: Nice fantasy if true, but he embarrasses us daily to allies &amp; aids &amp; comforts enemies! Liar! SHAME! 
Unstable!Unfit! https:…"
43,notritahart,"[""annogalactic""]",RT @AnnoGalactic: Donald Trump: defining deplorable for the poorly educated.
44,dickyirwin,"[""chiefplan1""]","RT @chiefplan1: Make it Viral folks! 
FBI finds no criminality in review of newly discovered Clinton emails https://t.co/AhhbllYFS0 via @nb…"
45,jasper_fly,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
46,hipppo_,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
47,kathiemrr,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
48,giselleevns,"[""dreamweasel""]","RT @Dreamweasel: U.S. Population Indifferent to Any and All National Issues Apart from All-Consuming Hatred of Hillary Clinton

 #TrumpsFav…"
49,dominicvalent,"[""realdonaldtrump"",""chiefplan1""]",RT @chiefplan1: #IDontThinkIWasMeantTo vote for a cheeto faced ferret wearing shitgibbon demogogue like unfit @realDonaldTrump https://t.co…
50,heyheyhailey,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
51,traceyhappymom,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
52,gab1aldana,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
53,hipppo_,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
54,jmscoxxx,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
55,worldofhashtags,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
56,danageezus,"[""stormynights10""]","RT @stormynights10: #ObamasWishList Marry Donald Trump and become the First Lady, Barack Obama Trump"
57,mr_clampin,"[""theclobra""]",RT @theclobra: #IWantCreditFor making it out of the bad side of Chicago as a young poor black woman. - Melania Trump
58,mr_clampin,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
59,dannythehappies,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
60,adrienne_gg,"[""annogalactic""]",RT @AnnoGalactic: Can we have #Debatenight once a fortnight even after the election?
61,traceyhappymom,"[""geffgefferson1"",""junkywithamonke"",""realdonaldtrump""]","RT @GeffGefferson1: #IfIWonTheElection It Would Be A  HUGE DISASTER BIGLY!!!(@realDonaldTrump ONLY)
@JunkyWithAMonkE 
#NEVERTRUMP
#ImWitHer…"
62,ilikebigbuttand,"[""chiefplan1""]","RT @chiefplan1: Trump promises segregation--
https://t.co/SHXPDCyYVq"
63,bruciedublin,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
64,dannythehappies,"[""theclobra""]",RT @theclobra: With Hillary as our President maybe we can rebuild some of our bridges so these deplorables may return to whence they came.…
65,ilikebigbuttand,"[""chiefplan1""]","RT @chiefplan1: Nice fantasy if true, but he embarrasses us daily to allies &amp; aids &amp; comforts enemies! Liar! SHAME! 
Unstable!Unfit! https:…"
66,loragreeen,"[""dreamweasel""]","RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…"
67,toneporter,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
68,cassieweltch,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
69,toneporter,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
70,gab1aldana,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
71,kathiemrr,"[""chiefplan1""]","RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic campaign a…"
72,traceyhappymom,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
73,amandavgreen,"[""chiefplan1""]","RT @chiefplan1: #ThatDoesImpressMeMuch

Melania plagiarizing Michelle Obama &amp; Rick in the same speech.... https://t.co/CkvwrkShzg"
74,melvinsroberts,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free speech f…"
75,hellieedwards,"[""midnight"",""hillaryclinton""]","RT @midnight: So hey @HillaryClinton you said you'll declassify all UFO documents if you're elected, but can we get a taste now to get thro…"
76,dickyirwin,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
77,brightandglory,"[""geffgefferson1"",""realdonaldtrump"",""junkywithamonke""]","RT @GeffGefferson1: #IfIWonTheElection It Would Be A  HUGE DISASTER BIGLY!!!(@realDonaldTrump ONLY)
@JunkyWithAMonkE 
#NEVERTRUMP
#ImWitHer…"
78,puredavie,"[""freedom2offend"",""pootie_tang666"",""theclobra""]",RT @Pootie_Tang666: @theclobra @freedom2offend #ElectionDay is like Asshole Christmas 😂😂😂😂
79,loragreeen,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
80,chrixmorgan,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #RuinADinnerInOnePhrase: Hillary Clinton, is the most honest person I've seen."
81,puredavie,"[""kevin_m_hart"",""theclobra""]",RT @kevin_m_hart: @theclobra your tweets on pain killers help relieve our pain this #ElectionDay #KeepEmComing
82,jarrardnorman,"[""theclobra""]",RT @theclobra: Reagan would slap the steaks out of you for comparing yourself to him. #debatenight #debates
83,dominicvalent,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
84,calebpaar,"[""midnight""]","RT @midnight: When you let Trump run hashtag wars, you get extremely original hashtags like tonight's. #FishTV! Play along. https://t.co/Iu…"
85,catelinewatkins,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
86,jarrardnorman,"[""theclobra""]",RT @theclobra: Wonder if it would be cheaper to pay for products to remove all those Trump/Deplorable stickers or just buying a new bumper…
87,toneporter,"[""geffgefferson1"",""realdonaldtrump"",""midnight"",""remhq""]","RT @GeffGefferson1: #ImVotingBecause If @realDonaldTrump Wins...
@midnight 
@remhq 
https://t.co/optiOnvqSs"
88,loragreeen,"[""midnight""]",Aliens: Trump Gets Married #BadMonsterMovies @midnight
89,hipppo_,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
90,worldofhashtags,"[""stormynights10""]","RT @stormynights10: #ObamasWishList Marry Donald Trump and become the First Lady, Obama Trump"
91,melvinsroberts,"[""therealezway"",""realdonaldtrump""]",RT @therealezway: @realDonaldTrump Words! Presidency! Exclamation Marks! No substance!
92,giselleevns,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline News broadcast: A newly discovered earth-like planet named after Trump, ""Melania and the Tramp"""
93,jasper_fly,"[""theclobra""]",RT @theclobra: #IWantCreditFor making it out of the bad side of Chicago as a young poor black woman. - Melania Trump
94,brightandglory,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
95,dominicvalent,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
96,meggieoneil,"[""midnight""]",Trump learned about time travel @midnight #TimeTravelerProblems
97,gab1aldana,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
98,cassieweltch,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
99,bruciedublin,"[""annogalactic""]",RT @AnnoGalactic: Trump: American Bald Ego.
100,holycrapchrix,"[""therealezway"",""americaferrera""]",RT @therealezway: .@AmericaFerrera I have a plan to combat social stratification in school lunches. What do you think? #DemConvention https…
101,gab1aldana,"[""midnight""]",GOP on the Cob #PoliticalFoods @midnight
102,mr_clampin,"[""annogalactic""]",RT @AnnoGalactic: Trump: American Bald Ego.
103,jarrardnorman,"[""pootie_tang666"",""freedom2offend"",""theclobra""]",RT @Pootie_Tang666: @theclobra @freedom2offend #ElectionDay is like Asshole Christmas 😂😂😂😂
104,cassieweltch,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
105,holycrapchrix,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow with all the sniffing Trump was doing. Why didnt he offer any of that cocaine to Lester, so Lester…"
106,dickyirwin,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
107,loragreeen,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
108,claudia42kern,"[""midnight""]","Do you feel lucky, Trump? #OneWordOffMovieQuotes @midnight"
109,mr_clampin,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
110,kathiemrr,"[""chiefplan1""]","RT @chiefplan1: #ThatDoesImpressMeMuch

Melania plagiarizing Michelle Obama &amp; Rick in the same speech.... https://t.co/CkvwrkShzg"
111,jasper_fly,"[""annogalactic""]",RT @AnnoGalactic: Trump: American Bald Ego.
112,hellieedwards,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
113,kencannone,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
114,hipppo_,"[""chiefplan1""]","RT @chiefplan1: This would be a direct violation of the law under the Logan Act &amp; others!

L9ck them up! https://t.co/GQprSfT9jO"
115,bruciedublin,"[""realdonaldtrump"",""annogalactic""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
116,aiden7757,"[""theclobra"",""kevin_m_hart""]",RT @kevin_m_hart: @theclobra your tweets on pain killers help relieve our pain this #ElectionDay #KeepEmComing
117,cascaseyp,"[""dreamweasel""]",RT @Dreamweasel: #ItMayComeAsAShockToYouBut reminding Democrats that Robert Byrd was in the KKK 60 years ago does not excuse Donald Trump's…
118,loragreeen,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
119,danageezus,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
120,calebpaar,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
121,cascaseyp,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
122,hipppo_,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
123,adrienne_gg,"[""therealezway""]",RT @therealezway: Soros got people to wear #BlackLivesMatter shirts at Trump rallies to prove how uncivilized Trump supporters are.
124,giselleevns,"[""dreamweasel""]","RT @Dreamweasel: - Obama Faked Birth Certificate
- Benghazi Is a Real Scandal
- Loud, Orange-Skinned Bigots Are Chick Magnets

 #TrumpsFavo…"
125,hellieedwards,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free… "
126,aiden7757,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
127,curtisbigman,"[""stormynights10""]","RT @stormynights10: #ObamasWishList Marry Donald Trump and become the First Lady, Obama Trump"
128,jarrardnorman,"[""dreamweasel""]",RT @Dreamweasel: #ItMayComeAsAShockToYouBut reminding Democrats that Robert Byrd was in the KKK 60 years ago does not excuse Donald Trump's…
129,melvinsroberts,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
130,worldofhashtags,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I'd like to have a serious conversation with Melania Trump
131,pamblmdaniels,"[""dreamweasel""]","RT @Dreamweasel: Jon Stewart is correct that not all Trump supporters are racist.

But they heard what Trump said, and voted for him. That'…"
132,cascaseyp,"[""dreamweasel""]","RT @Dreamweasel: Would a literal feces-throwing chimp earn 30% of the vote if the GOP nominated it to run against Hillary Clinton

 #Reject…"
133,melvinsroberts,"[""chiefplan1""]","RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic campaign a…"
134,loragreeen,"[""realdonaldtrump"",""geffgefferson1"",""junkywithamonke""]","RT @GeffGefferson1: #IfIWonTheElection It Would Be A  HUGE DISASTER BIGLY!!!(@realDonaldTrump ONLY)
@JunkyWithAMonkE 
#NEVERTRUMP
#ImWitHer…"
135,loragreeen,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
136,giselleevns,"[""stormynights10""]","RT @stormynights10: #DontTellAnyoneBut I have been inspired by Melania Trump's speeches and her unequivocal ideology on life, she is defini…"
137,danageezus,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #ObamasWishList: For Michelle Obama to finally turn into a real boy.
138,dominicvalent,"[""chiefplan1""]","RT @chiefplan1: Make it Viral folks! 
FBI finds no criminality in review of newly discovered Clinton emails https://t.co/AhhbllYFS0 via @nb…"
139,dominicvalent,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
140,hipppo_,"[""midnight""]",The Trump. The horror. @midnight #OneWordOffMovieQuotes
141,worldofhashtags,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #ObamasWishList: For Michelle Obama to finally turn into a real boy.
142,dominicvalent,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
143,ilikebigbuttand,"[""realdonaldtrump"",""therealezway""]",RT @therealezway: @realDonaldTrump Words! Presidency! Exclamation Marks! No substance!
144,catelinewatkins,"[""theclobra""]",RT @theclobra: #IWantCreditFor making it out of the bad side of Chicago as a young poor black woman. - Melania Trump
145,adrienne_gg,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
146,daileyjadon,"[""chiefplan1""]","RT @chiefplan1: This would be a direct violation of the law under the Logan Act &amp; others!

L9ck them up! https://t.co/GQprSfT9jO"
147,ilikebigbuttand,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
148,melvinsroberts,"[""chiefplan1""]","RT @chiefplan1: Trump promises segregation--
https://t.co/SHXPDCyYVq"
149,meggieoneil,"[""realdonaldtrump"",""therealezway""]",RT @therealezway: @realDonaldTrump Words! Presidency! Exclamation Marks! No substance!
150,holycrapchrix,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
151,giselleevns,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I'd like to have a serious conversation with Melania Trump
152,danageezus,"[""stormynights10""]","RT @stormynights10: #ObamasWishList Marry Donald Trump and become the First Lady, Obama Trump"
153,dannythehappies,"[""chiefplan1""]","RT @chiefplan1: This would be a direct violation of the law under the Logan Act &amp; others!

L9ck them up! https://t.co/GQprSfT9jO"
154,traceyhappymom,"[""chiefplan1""]","RT @chiefplan1: Make it Viral folks! 
FBI finds no criminality in review of newly discovered Clinton emails https://t.co/AhhbllYFS0 via @nb…"
155,aiden7757,"[""theclobra""]",RT @theclobra: Sorry in advance to my followers. It's #ElectionDay and I'm on pain killers from my surgery. Probably gonna hear some things…
156,giselleevns,"[""dreamweasel""]","RT @Dreamweasel: Mr. Trump, if Hillary Clinton started Birtherism, why do 100% of Birthers support you?  

 #RejectedDebateTopics"
157,traceyhappymom,"[""chiefplan1""]","RT @chiefplan1: Trump promises segregation--
https://t.co/SHXPDCyYVq"
158,melvinsroberts,"[""americaferrera"",""therealezway""]",RT @therealezway: .@AmericaFerrera I have a plan to combat social stratification in school lunches. What do you think? #DemConvention https…
159,brightandglory,"[""realdonaldtrump"",""geffgefferson1""]",RT @GeffGefferson1: A @realDonaldTrump Presidency #ReasonsHumansWillGoExtinct
160,loragreeen,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
161,bruciedublin,"[""geffgefferson1"",""midnight""]","RT @GeffGefferson1: #OverheardAtRNC Does This White Hood Make Me Look Fat???   
@midnight  
#RNCinCLE"
162,puredavie,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
163,heyheyhailey,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
164,puredavie,"[""annogalactic""]",RT @AnnoGalactic: Can we have #Debatenight once a fortnight even after the election?
165,holycrapchrix,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
166,worldofhashtags,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
167,claudia42kern,"[""realdonaldtrump"",""annogalactic""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
168,bgarner2107,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
169,melvinsroberts,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
170,melvinsroberts,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
171,aiden7757,"[""therealezway""]",RT @therealezway: George Soros left is retooling the left's strategy to defeat Trump and that scares the vermin Alt-Right naturally. Don't…
172,amandavgreen,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
173,cassieweltch,"[""theclobra""]",RT @theclobra: Sorry in advance to my followers. It's #ElectionDay and I'm on pain killers from my surgery. Probably gonna hear some things…
174,dominicvalent,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie-racist facist xenophobe misogynist predator! UNFIT
Deplorable &amp; irredeemable!
Support him-
don't… "
175,bgarner2107,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
176,heyheyhailey,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
177,worldofhashtags,"[""dreamweasel""]","RT @Dreamweasel: Mr. Trump, if Hillary Clinton started Birtherism, why do 100% of Birthers support you?  

 #RejectedDebateTopics"
178,loragreeen,"[""chiefplan1""]","RT @chiefplan1: Nice fantasy if true, but he embarrasses us daily to allies &amp; aids &amp; comforts enemies! Liar! SHAME! 
Unstable!Unfit! https:…"
179,curtisbigman,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
