,troll,mentions,tweet
13,jaydaastonishin,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Donald Trump has somehow gone from joke to presidential contender https://t.co/w2HPP2Z6aF @NYDailyNews https://t.co/JO0Y8PrP…
14,imissobama,"[""revjjackson"",""mindofmelita""]","RT @mindofmelita: ""If one generation can march from Selma to Montgomery, 60 miles, we can march to vote..."" @RevJJackson #JCSU #vote2016"
15,hiimkhloe,"[""mrnegromilitant""]","RT @MrNegroMilitant: Donald Trump ditches press, goes out for dinner.

https://t.co/7omQLtNR2I"
16,ravenicholson,"[""russian_starr""]","RT @Russian_Starr: I asked an older white gentleman who he voted for. He said, ""I'll give you a clue: she's not a bigot."" #ElectionDay Clev…"
17,damanimiles,"[""hawkee12345"",""talibkweli""]",RT @TalibKweli: That's neither Hillary OR Bill. Why u spreading lies? @hawkee12345 https://t.co/cvfZPAN1hq https://t.co/4y9sKfVmRM https://…
18,javonhidp,"[""blicqer""]",RT @blicqer: ▶ Tim Kaine Baits Trump: 'His Own Running Mate Threw Him Under the Bus—That's Going to Work on His Head'… 
19,mrmoraan,"[""realdonaldtrump"",""revjjackson"",""amjoyshow"",""blu_philosopher""]",RT @Blu_PHIlosopher: @amjoyshow I love how you operate.....YES! Call @RevJJackson for clarification and shut down @realDonaldTrump talking…
20,melanymelanin,"[""delo_taylor""]","RT @Delo_Taylor: No, I'm assuming the overwhelming majority of Black folks voting at that precinct voted for Obama. (Which they did) https:…"
21,emileewaren,"[""deray"",""facmagnaamerica""]","RT @FacMagnaAmerica: The suspect of the alleged ""assassination"" attempt on Trump in Reno.

He's dressed like @deray. Shocking
Democrat v… "
22,gwennythot,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶Mother of US Muslim soldier hits back at Trump over speech silence https://t.co/vP9nrlBLQr @BBC5Live
23,nojonathonno,"[""urbanintellects"",""blicqer""]",RT @blicqer: ‘Vote Trump’ Scrawled On Burned And Vandalized Black Mississippi Church https://t.co/uZrNl1kWyd @UrbanIntellects https://t.co/…
24,gallowayeliana,"[""blicqer"",""livenewscloud""]",RT @blicqer: ▶WikiLeaks Denies Trying to Hack Trump’s Tax Returns [VIDEO] https://t.co/uQ31yoiruI @LiveNewsCloud
25,jery_robertsyo,"[""fusion""]",RT @Fusion: These Texas high schoolers threw an awful Trump-themed rally to taunt their football rivals https://t.co/959NG5UdvL https://t.c…
26,johnnymarch_,"[""mrnegromilitant""]","RT @MrNegroMilitant: CNN has uploaded Obama's new role.... #SellOut

https://t.co/VmjpnID8xh"
27,ramonasnails,"[""nworeport"",""blicqer""]",RT @blicqer: ▶ @NWOReport: Clinton’s Campaign Team Were Warned Of Global Extinction Event https://t.co/pfIpkSpz2Y
28,onemightyfish,"[""talibkweli"",""owenlpeacock""]",RT @TalibKweli: I sent u an article from 73. His FIRST mention in press EVER was for racism. @owenlpeacock https://t.co/osVLqD2JRn https://…
29,melanymelanin,"[""talibkweli""]","RT @TalibKweli: They add ""deplorable"" to their names 2 show support for Trump. They troll ppl of color all day calling ppl SJW, cuck, retar…"
30,lagonehoe,"[""feministajones""]","RT @FeministaJones: Wait... PBO said Trump is committed to NATO

But in July, Trump said he wasn't trying to help nations that didn't p… "
31,onemightyfish,"[""blicqer"",""bipartisanism""]",RT @blicqer: George W. Bush Verbally Assaults Donald Trump During Private Fund... https://t.co/pNIBvfgDS7 via @Bipartisanism https://t.co/U…
32,taraformation,"[""blicqer"",""thebpdshow""]",RT @blicqer: Obama Visits Baton Rouge https://t.co/FArpNeSciV via @TheBpDShow
33,acejinev,"[""rawstory""]",RT @RawStory: CNN’s analyst laughs in Giuliani’s face for claim Trump has no ‘substantial’ ties to Russia https://t.co/LBEgXWcKXy https://t…
34,janelperkinson,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶Mother of US Muslim soldier hits back at Trump over speech silence https://t.co/vP9nrlBLQr @BBC5Live
35,regieblackmon,"[""thedailybeast"",""ggreenwald""]",RT @ggreenwald: Not that I know of. That's presumably why @TheDailyBeast had to publish a false list of people who actually don't. https://…
36,nojonathonno,"[""blicqer""]","RT @blicqer: ▶ The Hypocrisy of Right-Wing Media: Attacks Trump for Conspiracy-Mongering, But Then Does It Too… "
37,cookiiieeessss,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶US election: Donald Trump to call for 'testing' immigrants https://t.co/KmtaH8ylwL @BBC5Live
38,peytoncashout,"[""blicqer"",""afronews""]",RT @blicqer: Obama Keeps Unusually Late Hours on Vineyard Vacation https://t.co/09jAO1USIY @AfroNews
39,drmichaelgarcia,"[""shaunking""]",RT @ShaunKing: We live in strange times. https://t.co/0tvQ6WDAMm
40,imapharrelfake,"[""feministajones""]",RT @FeministaJones: Trump supporters won't care abt his ties to Russia bc many aren't able to articulate the history of US/Russia relations…
41,eliasbrick,"[""delo_taylor""]",RT @Delo_Taylor: Statement from Paul Manafort on his resignation &amp; the current state of the Donald Trump campaign: https://t.co/mAkanskp2H
42,damanimiles,"[""transgriot"",""potus""]",RT @TransGriot: THe GOP is STILL mad at @POTUS https://t.co/uSkA7Gvacs
43,ogdeandre,"[""feministajones""]","RT @FeministaJones: 2. The #NotAll is strongggg among Trump supporters. I never once used ""all"" or ""every"" but wow do they #react vigorousl…"
44,hiimkhloe,"[""docrocktex26""]","RT @docrocktex26: Trump, Manafort, Putin, and the GOP: Authoritarians of a Feather Flock Together https://t.co/F97aFxARQp via @docrocktex26"
45,iiddaamarks,"[""livenewscloud"",""blicqer""]",RT @blicqer: Obama: Trump appeals to ‘folks who feel left out’ – WATCH THE INT... https://t.co/6ASbX7m9Yo via @LiveNewsCloud https://t.co/G…
46,cannonsher,"[""fusion""]",RT @Fusion: This Latina Republican straight-up called Donald Trump a racist on live TV https://t.co/1yl7K9xDDU https://t.co/LUC3hdEflm
47,willisbonnerr,"[""fusion""]",RT @Fusion: Will Trump keep us safe? This cartoon might make you think twice: https://t.co/8mvWVCinBJ https://t.co/3ioydRlWcG
48,jani_s_jac,"[""deray"",""hillaryclinton"",""nickkerr1961"",""bodhisattvakat"",""zuessgirasoleme""]",RT @zuessgirasoleme: @BodhisattvaKat @nickkerr1961 @HillaryClinton @deray Thank you!
49,iiddaamarks,"[""kylegriffin1""]","RT @kylegriffin1: Trump favorability rating:

Favorable 30
Unfavorable 63
NET: -33

—NBC/WSJ poll Oct. 8-10"
50,jery_robertsyo,"[""thedailyedge""]",RT @TheDailyEdge: NEWS ALERT: Man who stole $25M from New Jersey taxpayers then scarpered when things got tough spotted in Louisiana https:…
51,drmichaelgarcia,"[""tmtweetz"",""danteb4u"",""johnlegend""]","RT @DanteB4u: .@tmtweetz @johnlegend -Trump claims it's rigged to garner sympathy, enrage his base, prompt #GOP to rig it for him, &amp; dismis…"
52,fightm_d_b,"[""mistamazemusic"",""amjoyshow"",""joyannreid"",""revjjackson"",""realdonaldtrump""]","RT @MistaMazeMusic: @amjoyshow

@JoyAnnReid rocks! TRUMP supporter tried to use @RevJJackson's old words to support @realDonaldTrump, JOY c…"
53,peytoncashout,"[""danteb4u""]","RT @DanteB4u: #GOP caused the Great Recession, tarnished the Presidency, Supreme Court, Senate, &amp; HOR. Greed over People politics don't wor…"
54,gwennythot,"[""talibkweli""]",RT @TalibKweli: Who said anything abt democrats at all? So u want to vote for trump regardless of his racism to stick it to Hillary? https:…
55,jaydaastonishin,"[""blackvoicenews"",""blicqer""]",RT @blicqer: Why are Michelle Rhee and Kevin Johnson Meeting with Donald Trump? https://t.co/nhV01WDh5D @BlackVoiceNews https://t.co/K9xkdk…
56,nojonathonno,"[""yourblackworld"",""blicqer""]",RT @blicqer: Yvette and Ben Ask: Did Black Lives Matter Get Schooled by Hillary Clinton? https://t.co/4wTRysFvBk @YourBlackWorld https://t.…
57,taraformation,"[""hibbs101"",""emergagent"",""mrnegromilitant"",""potus"",""ezad60""]",RT @hibbs101: @MrNegroMilitant @emergagent @EZAD60 @POTUS all politicos Suck. All. Just follow the money. Check who they associate with and…
58,camosaseko,"[""bipartisanism"",""blicqer""]",RT @blicqer: George W. Bush Verbally Assaults Donald Trump During Private Fund... https://t.co/pNIBvfgDS7 via @Bipartisanism https://t.co/U…
59,nojonathonno,"[""kylegriffin1"",""morning_joe""]","RT @kylegriffin1: Claire McCaskill to @Morning_Joe: Trump thinks ""this is a dictatorship"". https://t.co/Kr78hJmzSV"
60,chesplayschess,"[""davidsirota"",""bwreed"",""mattyglesias"",""ggreenwald""]",RT @davidsirota: @ggreenwald @mattyglesias @bwreed Clinton's backed a lot of controversial stuff and hasn't had to walk it back https://t.c…
61,ramonasnails,"[""foxnews"",""blicqer""]","RT @blicqer: ▶ 'HANNITY' Giuliani: Obama, Clinton 'corrupted' State Dept, DOJ https://t.co/G1VctAhNKG @FoxNews https://t.co/3v145Otf7N"
62,brentmcclure275,"[""kalarigamerchic"",""wrapnik75"",""docrocktex26"",""darrenfreedom""]","RT @DarrenFreedom: @docrocktex26 @WrapNik75 @Kalarigamerchic Exactly, and in the words of Trump ...U can tell them to go ....themselves. #E…"
63,jery_robertsyo,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶Nigel Farage to speak at Donald Trump rally https://t.co/EAIMKNNeBo @BBC5Live
64,acejinev,"[""ggreenwald""]","RT @ggreenwald: As Israel Prospers, Obama Set to Give Billions More in Aid While Netanyahu Demands More  https://t.co/dLkKXysIUO"
65,watchmewalkin,"[""delo_taylor"",""hillaryclinton""]",RT @Delo_Taylor: At the rate this is going @HillaryClinton apologists are going to be voting for neoliberalism to avoid neofascism until th…
66,ameliebaldwin,"[""kylegriffin1""]","RT @kylegriffin1: Clinton's lead with millennials:

African Americans +72
Asian Americans +65
Latinos +55
Whites +10

—via GenForward… "
67,eliasbrick,"[""flintgate"",""hillaryclinton"",""santitaj"",""revjjackson"",""maxinewaters"",""c4show""]",RT @SantitaJ: Please RT! #FlintWaterCrisis #FlintHealthEmergency: .@RevJJackson @FlintGate @HillaryClinton @MaxineWaters @C4Show https://t.…
68,taraformation,"[""kylegriffin1""]","RT @kylegriffin1: Kellyanne Conway says Kaine was boorish for interrupting female moderator, forgets Trump interrupted female candida… "
69,regieblackmon,"[""talibkweli""]",RT @TalibKweli: Who said anything abt democrats at all? So u want to vote for trump regardless of his racism to stick it to Hillary? https:…
70,antonhayhay,"[""fusion""]","RT @Fusion: ""He's a national disaster. He's an embarrassment to this country.""

Robert De Niro wants to punch Donald Trump righ… "
71,javonhidp,"[""mrnegromilitant""]","RT @MrNegroMilitant: Pres Obama commutes 102 inmates today for a record total of 774...which his trick ass should have done years ago.

htt…"
72,maymaymyy,"[""thedailyedge""]","RT @TheDailyEdge: Idea: New ""Candid Camera""-style show where unsuspecting celebrities and billionaires have 1st visit w/Trump's Doctor http…"
73,antonhayhay,"[""docrocktex26""]","RT @docrocktex26: The folk who have ""Buyers Remorse"" for Obama are mad bc he didn't shout his agenda at Congress, but were mad at BLM for d…"
74,corynaenae,"[""talibkweli"",""twitashitter""]",RT @TalibKweli: Ask yourself why Milo and Trump so many supporters are supporting YOU @twitashitter this ain't the only one https://t.co/tA…
75,brianaregland,"[""feministajones""]",RT @FeministaJones: They're going to stop letting BC be free because Pres Obama made it so. They're going to be so vindictive and hurt so m…
76,pamblmdaniels,"[""docrocktex26""]","RT @docrocktex26: No, nothing in this tweet makes sense. https://t.co/2LTBYOSHRv"
77,antonhayhay,"[""docrocktex26"",""wrapnik75""]","RT @WrapNik75: @docrocktex26 He may look like everyone's dad now...but dayum, young Tim Kaine!"
78,jerstoner,"[""feministajones""]","RT @FeministaJones: These Sunday morning political conversations are happening and I love it

Don't forget, tho:

Donald Trump does NOT wan…"
79,gwennythot,"[""shaunking""]",RT @ShaunKing: He should be arrested. At the least he should be removed as the nominee. https://t.co/idUzg3VpvH
80,melanymelanin,"[""blicqer""]","RT @blicqer: ▶ JUST IN: Clinton Vs Trump Polls From DEEP RED Georgia Released, Pollsters Are SHOCKED (STATS) https://t.co/Qx6IhVg3n4 @Bipar…"
81,watchmewalkin,"[""transgriot""]",RT @TransGriot: POTUS elections are about the shape of the SCOTUS &amp; federal judiciary https://t.co/MtVDfoGSLr
82,melanymelanin,"[""blicqer""]",RT @blicqer: ▶ Rebellion in the Democratic Party: Keith Ellison Eyes Top Spot as DNC Staff Berates Donna Brazile https://t.co/e07itdwitd @A…
83,onemightyfish,"[""fusion""]","RT @Fusion: ""The determination was made that [Kasich didn't] have the power to suspend [the open carry] law [for the #RNCinCLE]"" https://t.…"
84,javonhidp,"[""ggreenwald""]","RT @ggreenwald: It's amazing how few people who know Trump (besides his kids, who work for him) vouch for his character, and how so many wh…"
85,siccerthanyou,"[""thedailyedge""]",RT @TheDailyEdge: #DespiteWhatYouMightHaveHeard Famed plagiarist Melania Trump does not have a degree from the University of Ljubljana http…
86,randolphburrr,"[""talibkweli""]","RT @TalibKweli: It started w first black president. Birthers, led by Trump, went nuts, bought guns, started white nationalist sites https:/…"
87,jery_robertsyo,"[""fusion"",""clepolice""]","RT @Fusion: ""Our officers take care of business."" Chief of @CLEpolice assures there are no ""real threats"" to police or #RNCinCLE https://t.…"
88,melanymelanin,"[""dnainfony"",""blicqer""]",RT @blicqer: ▶ Friday is the Deadline to Register to Vote in the 2016 General Election https://t.co/tcg0ut83nS @DNAinfoNY https://t.co/3MQe…
89,brianthelifter,"[""russian_starr""]",RT @Russian_Starr: In the middle of downtown. #RNCinCLE https://t.co/Zt6VT1inHb
90,aantiracist,"[""blicqer"",""alternet""]",RT @blicqer: Media Need 12-Step Program for Donald Trump Addiction https://t.co/HgMCBL7X5I via @AlterNet https://t.co/iFXEiCfVkM
91,javonhidp,"[""kylegriffin1"",""thedailybeast""]","RT @kylegriffin1: The Trump Foundation scandal is about to go national, as other states could follow the NY AG's lead —@thedailybeast… "
92,malloryjared,"[""kylegriffin1""]",RT @kylegriffin1: Donald Trump Jr. pushing out Alex Jones conspiracy theory ------&gt; https://t.co/GpIx0oK9j7
93,damanimiles,"[""delo_taylor"",""hillaryclinton""]",RT @Delo_Taylor: At the rate this is going @HillaryClinton apologists are going to be voting for neoliberalism to avoid neofascism until th…
94,javonhidp,"[""mspackyetti""]","RT @MsPackyetti: YES! #GoVote. 

YMCA offers Nov. 8 child care so you can vote https://t.co/mJ9XbCY5Ds"
95,crystal1johnson,"[""fusion"",""erinschrode""]",".@Fusion: Journalist @ErinSchrode was interviewing North Dakota #NoDAPL activists when cops shot her..

This is Ame… https://t.co/E34yQpAjAr"
96,javonhidp,"[""blicqer""]",RT @blicqer: Talib Kweli Calls For Kanye West to “Come Home” Amid Recent Pro-Trump Comments https://t.co/C6WtFum64b… 
97,maymaymyy,"[""fusion""]",RT @Fusion: CNN commentator: Donald Trump 'es un racista—he is a flat out racist.' https://t.co/cXS4OY6xo6 https://t.co/eIedXOxUsW
98,javonhidp,"[""charlesmblow""]",RT @CharlesMBlow: Poll: Hillary Clinton leads Donald Trump by 14 points nationally https://t.co/RZw7KNkIcQ
99,blmsoldier,"[""russian_starr""]","RT @Russian_Starr: And you do know that, under Obama, a rise in hate groups and gun sales took place, right? How many of those folks are ""w…"
100,sincerepruitt,"[""fusion""]","RT @Fusion: ""He's not welcome into our country.""

This waitress in Mexico City is anything but excited about Trump's visit: https://t.co/Xi…"
101,melanymelanin,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Trump wants 'Hamilton' cast apology after actor's speech to Pence https://t.co/h4LRoWMbt2 @NYDailyNews https://t.co/pYCVsRrl…
102,javonhidp,"[""charlesmblow""]",RT @CharlesMBlow: Wow. That #fakeblackoutreach in Detroit and Flint didn't work… https://t.co/pIDlgeI9Jt
103,blmsoldier,"[""mrnegromilitant""]",RT @MrNegroMilitant: Hillary Clinton’s axis of evil https://t.co/35fvWzDNiL
104,baobaeham,"[""russian_starr"",""realdonaldtrump""]",RT @Russian_Starr: .@realDonaldTrump Here is another question: What is your policy on the continent of Africa? What is your vision for its…
105,randolphburrr,"[""talibkweli"",""justjonathan13"",""carpophores""]","RT @TalibKweli: RT @justjonathan13: @Carpophores trump has also evicted more PoC fromtheir homes than clinton. so yes, hes a racist. https:…"
106,jaydaastonishin,"[""blicqer""]",RT @blicqer: Clinton and Trump Must Address the Nation’s Poor and Hungry in the Next Debate https://t.co/rnjUJ1W01y… 
107,cliftonhughes_,"[""drjillstein"",""delo_taylor"",""therealnews"",""kwamerose""]","RT @Delo_Taylor: Via @TheRealNews: @kwamerose interviews Green Party POTUS nominee @DrJillStein. #IntelGroup
https://t.co/HbZixNIB5R https:…"
108,tessyelmore,"[""mcurryfelidae07"",""jkirchick"",""ggreenwald""]",RT @mcurryfelidae07: Queer-outing outlet's @jkirchick has Deeply Informed us that @ggreenwald supports the guy who wants Snowden executed h…
109,javonhidp,"[""mrnegromilitant""]","RT @MrNegroMilitant: White Nationalists: Trump's A Chance To Break Into Media Mainstream.

https://t.co/J5eKihm7x9 https://t.co/TFeFhXj552"
110,javonhidp,"[""talibkweli"",""faahstar1"",""carpophores""]",RT @TalibKweli: RT @FaahStar1: @TalibKweli @Carpophores Right! And like Trump they're all talk w/ no action and no plan.
111,bigboyjasiah,"[""fusion""]","RT @Fusion: “Mexico doesn’t want [Trump], Mexico will never trust him. Let’s not let him use our country for his own interests."" https://t.…"
112,johnnymarch_,"[""russian_starr""]",RT @Russian_Starr: Black journalists: RT if you Trump's campaign has dodged interviews with you. Like if he has granted you a sitdown.
113,nojonathonno,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Top cop James O'Neill says NYPD will beef up Trump Tower security https://t.co/QbqAEh1IxN @NYDailyNews https://t.co/GahF3UI2…
114,brianthelifter,"[""livenewscloud"",""blicqer""]",RT @blicqer: ▶ Trevor: Mike Pence Manage To Dodge Every Single Trump Scandal https://t.co/alDmGEwm3t @LiveNewsCloud https://t.co/qWx1outq3K
115,nojonathonno,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Paul Ryan ‘sickened’ by Trump’s sexist rants https://t.co/4L1mCc5skj @NYDailyNews https://t.co/2HJmyQD3c2
116,camosaseko,"[""amjoyshow""]","RT @amjoyshow: Michelle Obama today: With #DonaldTrump as president, how could we maintain our moral authority in the world? https://t.co/n…"
117,bigboysneed,"[""cnn"",""mrnegromilitant""]","RT @MrNegroMilitant: What the Green Party's Jill Stein believes in 2 minutes on #CNN #Trump gets days worth of coverage from @CNN

https://…"
118,paulinett,"[""blacktolive"",""blicqer""]",RT @blicqer: Trump Entered a Black Church and a Lightning Didn’t Strike Him https://t.co/xZ3y3tqEU8 via @BlackToLive
119,wokefromday1,"[""blicqer"",""joeljamescomedy""]",RT @blicqer: When Trump Writes your Speech https://t.co/8VS00QROjc via @JoelJamesComedy
120,cannonsher,"[""tonystubblebine"",""feministajones"",""louisathelast""]",RT @tonystubblebine: @LouisatheLast @FeministaJones Feels both stupid and unfair with Rs not approving Obama's SCOTUS nomination. He's stil…
121,nojonathonno,"[""kylegriffin1"",""robbymook""]","RT @kylegriffin1: Clinton campaign manager @RobbyMook has sent a message to supporters: ""There has never been more work to do."" https://t.c…"
122,ogdeandre,"[""kylegriffin1""]",RT @kylegriffin1: Just in: Speaker Ryan spokesperson statement pushes back on Trump's rigged election comments: https://t.co/PChuwXzntM
123,paulinett,"[""nyamnews"",""blicqer""]",RT @blicqer: VIDEO: Michelle Obama fires up North Carolina crowd for Hillary Clinton https://t.co/M27OYt9pah @NYAmNews https://t.co/8EUYnPM…
124,javonhidp,"[""mrnegromilitant""]","RT @MrNegroMilitant: The Election in ONE Picture

https://t.co/zqJwY7pxgu https://t.co/EF713T5XIM"
125,wokefromday1,"[""mspackyetti""]",RT @MsPackyetti: I think sometimes there's an assumption that being a never Trump Dem means I judge people who will write in or vote 3rd pa…
126,onemightyfish,"[""thedailyedge""]",RT @TheDailyEdge: NEWS ALERT: Man who stole $25M from New Jersey taxpayers then scarpered when things got tough spotted in Louisiana https:…
127,paulinett,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Donald Trump turns final presidential debate into unhinged TV https://t.co/Yc4Ttwpyvn @NYDailyNews https://t.co/T1pH2Fjfeu
128,watchmewalkin,"[""transgriot"",""potus""]",RT @TransGriot: THe GOP is STILL mad at @POTUS https://t.co/uSkA7Gvacs
129,adrgreerr,"[""djolder""]",RT @djolder: looking extra like a boss https://t.co/ovxJtlg9Su
130,pamblmdaniels,"[""transgriot""]",RT @TransGriot: It's a wonderful day for American democracy when racist &amp; unjust laws like the GOP Voter ID ones get struck down as unconst…
131,paulinett,"[""blicqer"",""afrikaneyes""]",RT @blicqer: Why Trump Can’t ‘Save’ Africa https://t.co/G9i4Pt7KhE @AfrikanEyes https://t.co/Fv1P9N4MX8
132,javonhidp,"[""blicqer""]","RT @blicqer: ▶ ‘F*ck you, Chuck’: Clinton aide fantasized about Hillary walking out on ‘Meet the Press’ host… "
133,melanymelanin,"[""truthdig"",""blicqer""]",RT @blicqer: ▶ Will Hillary Clinton Get America Back on Track? https://t.co/TvI34Wg9IP @Truthdig https://t.co/9BytdRQqB9
134,regieblackmon,"[""ggreenwald"",""mcurryfelidae07"",""jkirchick""]",RT @mcurryfelidae07: Queer-outing outlet's @jkirchick has Deeply Informed us that @ggreenwald supports the guy who wants Snowden executed h…
135,brianaregland,"[""rawstory"",""dilemmv""]","RT @dilemmv: Honestly media...pretend this is Chelsea and Hillary and report on it as you would in that scenario @RawStory 
https://t.co/EZ…"
136,ameliebaldwin,"[""fusion""]","RT @Fusion: ""He clearly does not respect women.""

Ex-Miss Universe Alicia Machado is campaigining for Clinton—and against Trump: https://t.…"
137,regieblackmon,"[""feministajones""]",RT @FeministaJones: OnCNN are interviews with White people living in subsidized housing and disability benefits voting for Trump. They say…
138,javonhidp,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Trump's alternate 'reality show' has become stomach churning https://t.co/OfLXotSq7N @NYDailyNews https://t.co/trppZE2jdh
139,melanymelanin,"[""blicqer""]",RT @blicqer: Minister Louis Farrakhan - Message On The 2016 Presidential Election - LIVE - 10AM 10/30/16 https://t.co/3LQHGN6unt @TheAdvise…
140,aantiracist,"[""djolder""]",RT @djolder: Lmao followed by an entire predictable thread of Crying Jordan #SaysWho and #whichpolls tweets https://t.co/GnF8lSwCoc
141,samirgooden,"[""thedailyedge""]",RT @TheDailyEdge: #DespiteWhatYouMightHaveHeard Famed plagiarist Melania Trump does not have a degree from the University of Ljubljana http…
142,liljordamn,"[""docrocktex26"",""dagraffman""]",RT @dagraffman: @docrocktex26 the narrative changes constantly. Either they kill people or protect them at all costs. Whatever fits GOP tal…
143,johnbranchh,"[""blicqer"",""livenewscloud""]",RT @blicqer: Obama: Trump appeals to ‘folks who feel left out’ – WATCH THE INT... https://t.co/6ASbX7m9Yo via @LiveNewsCloud https://t.co/G…
144,javonhidp,"[""fusion""]","RT @Fusion: In case you missed it, Donald Trump's star on the Hollywood Walk of Fame was smashed up by an unknown ""construction… "
145,javonhidp,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶ Trump accusations: Karena Virginia recounts 1998 incident https://t.co/zifdsE0Eh6 @BBC5Live https://t.co/AUGwlFBZ5i
146,imapharrelfake,"[""blicqer"",""bipartisanism""]",RT @blicqer: George W. Bush Verbally Assaults Donald Trump During Private Fund... https://t.co/pNIBvfgDS7 via @Bipartisanism https://t.co/U…
147,paulinett,"[""chidefender"",""blicqer""]",RT @blicqer: WE CAN’T AFFORD TO LOSE FOCUS IN THIS ELECTION https://t.co/WzjkNXG8zS @ChiDefender https://t.co/EHEOoKUFxG
148,stanleyparris,"[""alphakilla"",""talibkweli""]",RT @TalibKweli: And Trump is a virulent racist who is empowered by white supremacist KKK lovers like u @alphakilla https://t.co/TN8KL8xf2V
149,melanymelanin,"[""blicqer""]",RT @blicqer: ▶ ‘Thanks to Trump’: CNN’s irresponsible Trump coverage earns it $100 million over election forecasts https://t.co/zJ3fDUHGvH…
150,imaswerve,"[""realdonaldtrump"",""russian_starr""]","RT @Russian_Starr: .@realDonaldTrump You LOVE, LOVE the media. You always have time for us. Well, at least SOME of us. When do you talk to…"
151,jaydaastonishin,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ The Election: Does It Matter Who Wins? https://t.co/SPBCLmWp0R @NatCounterPunch https://t.co/V69nAdXXMi
152,errivvvvers,"[""thedailyedge""]",RT @TheDailyEdge: #DespiteWhatYouMightHaveHeard Famed plagiarist Melania Trump does not have a degree from the University of Ljubljana http…
153,cookiiieeessss,"[""transgriot""]",RT @TransGriot: What anti-Hillary lie is going to be blown up next? https://t.co/roF6ioAvqb
154,crystal1johnson,"[""fusion""]",".@Fusion: This is 2016 not 1916

NAACP leaders demanding action after white students allegedly placed a noose aroun… https://t.co/IC0cUZpjY6"
155,jaydaastonishin,"[""eurweb"",""blicqer""]",RT @blicqer: Obama and Macklemore Discuss Opioid Epidemic in New MTV Doc https://t.co/XNMR1Mj5p8 @EurWeb https://t.co/jxl93EQooX
156,brianaregland,"[""deray""]",RT @deray: this is the real question. https://t.co/1FV9Xpnfmf
157,drmichaelgarcia,"[""drdavidduke"",""talibkweli""]",RT @TalibKweli: What's a CNN Jew? @drdavidduke  https://t.co/GyxfV16Vlq
158,melanymelanin,"[""shaunking""]","RT @ShaunKing: Anytime I see a conservative criticize Colin Kaepernick for being offensive or crass, I just have two words for you = Donald…"
159,javonhidp,"[""feministajones""]",RT @FeministaJones: Baseball bat. Witch. Rituals. Cheating husband. https://t.co/lxpbfd2zct
